AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
269,-858,16320,5,0,-2
288,-825,16283,9,2,-1
282,-810,16330,4,0,0
278,-847,16346,2,-1,0
336,-861,16307,4,-1,0
255,-828,16351,2,0,-1
319,-888,16323,6,0,0
258,-836,16342,4,-2,0
299,-820,16337,4,-1,-1
276,-858,16337,4,0,0
286,-839,16323,3,0,-1
255,-862,16318,1,0,1
251,-819,16375,4,-1,-1
268,-856,16333,0,1,-1
256,-820,16361,6,-1,-1
298,-816,16358,3,-2,-1
270,-827,16376,4,-1,-3
182,-810,16342,4,-1,0
324,-851,16347,5,0,0
241,-888,16331,3,0,0
254,-849,16343,3,-1,-2
327,-833,16348,1,-2,-1
279,-832,16367,1,-2,0
225,-822,16367,3,0,1
280,-793,16379,1,-2,-3
307,-851,16320,7,-1,2
266,-826,16333,6,0,1
280,-833,16344,6,-2,1
309,-830,16338,2,-2,-1
261,-838,16373,5,0,0
314,-820,16353,2,-1,-2
280,-830,16356,5,-3,1
265,-858,16351,2,-1,-1
327,-817,16357,3,0,-1
273,-803,16365,2,-1,-1
323,-823,16367,5,-2,-1
303,-840,16380,6,-1,0
285,-864,16362,0,-2,-1
251,-867,16332,0,-2,-1
287,-863,16333,5,-1,0
214,-841,16343,-1,-1,0
317,-858,16349,6,0,-1
273,-845,16341,3,-1,2
249,-847,16349,5,-1,-1
279,-823,16367,4,-1,-2
291,-825,16383,4,0,1
265,-919,16325,0,-1,-1
246,-856,16362,4,-1,0
298,-847,16347,3,-1,0
303,-911,16338,2,-2,1
223,-865,16364,7,0,0
285,-854,16321,5,0,1
275,-839,16332,5,1,0
267,-830,16359,1,-1,-2
206,-858,16373,4,-1,-1
315,-872,16353,1,-1,-11
